ANNO_SOLARE;COD_ATENEO;NOME_ATENEO;CODICE_SPESA;DESCRIZIONE_SPESA;SPESA_TOTALE;SPESA_DI_CUI_REGIONALE
2008;00102;Torino - Politecnico;3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;839569;0
2008;00102;Torino - Politecnico;3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;3179;0
2008;00102;Torino - Politecnico;3230  ;Iniziative ed attività culturali gestite dagli studenti;251372;0
2008;00102;Torino - Politecnico;3240  ;Altri interventi a favore degli studenti;3097026;0
2008;00102;Torino - Politecnico;3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;0;0
2008;00102;Torino - Politecnico;3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;431168;0
2008;00102;Torino - Politecnico;3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;680186;0
2008;00102;Torino - Politecnico;3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;1985672;0
2008;00102;Torino - Politecnico;40    ;ALTRE SPESE PER IL DSU - TOTALE;41491;0
2008;00102;Torino - Politecnico;41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;00102;Torino - Politecnico;42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;00102;Torino - Politecnico;43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;00102;Torino - Politecnico;44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;41491;0
2008;00102;Torino - Politecnico;45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
2008;00102;Torino - Politecnico;51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;0;0
2008;00102;Torino - Politecnico;52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;9217787;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";S310  ;BORSE DI STUDIO - TOTALE BORSE;8370408;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3110  ;Dottorato di ricerca;1795214;
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3120  ;Scuole di specializzazione;200;
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3130  ;Scuole di specializzazione mediche a norma UE;5380158;
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3140  ;Post dottorato;0;
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3150  ;Perfezionamento all'estero;0;
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3160  ;Altre borse;1194836;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;73328;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3165  ;Altre borse - di cui altre borse;1121508;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;847379;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3210  ;Attività part-time;195849;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3220  ;Programmi di mobilità e scambi culturali studenti;127118;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;18392;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;60120;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;8500;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3230  ;Iniziative ed attività culturali gestite dagli studenti;42691;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3240  ;Altri interventi a favore degli studenti;481721;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;148607;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;333114;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";40    ;ALTRE SPESE PER IL DSU - TOTALE;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";51    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Ammontare dei prestiti;0;0
2008;00201;"Vercelli - Università degli studi del Piemonte orientale ""A. Avogadro""";52    ;PRESTITI EROGATI DA ISTITUTI DI CREDITO CONVENZIONATI - Fondo di garanzia;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;S300  ;INTERVENTI A FAVORE DEGLI STUDENTI - TOTALE INTERVENTI;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;S310  ;BORSE DI STUDIO - TOTALE BORSE;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3110  ;Dottorato di ricerca;0;
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3120  ;Scuole di specializzazione;0;
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3130  ;Scuole di specializzazione mediche a norma UE;0;
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3140  ;Post dottorato;0;
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3150  ;Perfezionamento all'estero;0;
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3160  ;Altre borse;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3161  ;Altre borse - di cui a studenti iscritti a corsi di laurea, corsi di laurea magistrale, corsi del vecchio ordinamento;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3162  ;Altre borse - di cui a studenti iscritti a corsi di dottorato;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3163  ;Altre borse - di cui a studenti iscritti a corsi di specializzazione;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3164  ;Altre borse - di cui a studenti iscritti a corsi di perfezionamento e master;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3165  ;Altre borse - di cui altre borse;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;S320  ;ALTRI INTERVENTI - TOTALE ALTRI INTERVENTI;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3210  ;Attività part-time;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3220  ;Programmi di mobilità e scambi culturali studenti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3221  ;Programmi di mobilità e scambi culturali studenti - di cui da cofinanziamento MIUR;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3222  ;Programmi di mobilità e scambi culturali studenti - di cui spesa finanziata dall'Unione Europea o da altre istituzioni;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3223  ;Programmi di mobilità e scambi culturali studenti - di cui spesa per iscritti in istituti esteri coinvolti in scambi internazionali presso l'istituto;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3230  ;Iniziative ed attività culturali gestite dagli studenti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3240  ;Altri interventi a favore degli studenti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3241  ;Altri interventi a favore degli studenti - di cui contributi finanziari a favore di studenti in situazione di handicap;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3242  ;Altri interventi a favore degli studenti - di cui contributi-alloggio;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3243  ;Altri interventi a favore degli studenti - di cui mobilità dei dottorandi;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;3244  ;Altri interventi a favore degli studenti - di cui altri sussidi;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;40    ;ALTRE SPESE PER IL DSU - TOTALE;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;41    ;ALTRE SPESE PER IL DSU - Spesa per gestione della mensa;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;42    ;ALTRE SPESE PER IL DSU - Spesa per gestione degli alloggi;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;43    ;ALTRE SPESE PER IL DSU - Spesa per trasporto studenti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;44    ;ALTRE SPESE PER IL DSU - Spesa per interventi a favore di studenti in situazione di handicap non ripartibile tra studenti;0;0
2008;00401;Bra (CN) - Università di Scienze Gastronomiche;45    ;ALTRE SPESE PER IL DSU - Altre spese per il DSU non ripartibile tra studenti;0;0
