DATA;COD_Ateneo;NOME_ATENEO;CODICE_STRUTTURA;DESCRIZIONE_STRUTTURA;NUMERO_STRUTTURE;POSTI_DISPONIBILI
01/11/09;04201;Ancona - Università Politecnica delle Marche;02 ;Residenze;0;0
01/11/09;04301;Macerata - Università degli studi;01 ;Mense;0;0
01/11/09;04301;Macerata - Università degli studi;02 ;Residenze;6;134
01/11/09;04302;Camerino - Università degli studi;01 ;Mense;0;0
01/11/09;04302;Camerino - Università degli studi;02 ;Residenze;0;0
01/11/09;04601;Lucca - Scuola IMT Alti Studi;01 ;Mense;1;100
01/11/09;04601;Lucca - Scuola IMT Alti Studi;02 ;Residenze;1;65
01/11/09;04801;Firenze - Università degli studi;01 ;Mense;0;0
01/11/09;04801;Firenze - Università degli studi;02 ;Residenze;0;0
01/11/09;04803;Firenze - Istituto Italiano di Scienze Umane;01 ;Mense;0;0
01/11/09;04803;Firenze - Istituto Italiano di Scienze Umane;02 ;Residenze;0;0
01/11/09;04804;"Firenze - Università telematica ""Italian University line""";01 ;Mense;0;0
01/11/09;04804;"Firenze - Università telematica ""Italian University line""";02 ;Residenze;0;0
01/11/09;05001;Pisa - Università degli studi;01 ;Mense;0;0
01/11/09;05001;Pisa - Università degli studi;02 ;Residenze;0;0
01/11/09;05002;Pisa - Scuola normale superiore;01 ;Mense;1;270
01/11/09;05002;Pisa - Scuola normale superiore;02 ;Residenze;4;309
01/11/09;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";01 ;Mense;1;120
01/11/09;05003;"Pisa - Scuola superiore studi universitari e perfezionamento ""S. Anna""";02 ;Residenze;4;218
01/11/09;05201;Siena - Università degli studi;01 ;Mense;1;80
01/11/09;05201;Siena - Università degli studi;02 ;Residenze;2;160
01/11/09;05202;Siena - Università per stranieri;01 ;Mense;0;0
01/11/09;05202;Siena - Università per stranieri;02 ;Residenze;0;0
01/11/09;05401;Perugia - Università degli studi;01 ;Mense;0;0
01/11/09;05401;Perugia - Università degli studi;02 ;Residenze;0;0
01/11/09;05403;Perugia - Università per stranieri;01 ;Mense;0;0
01/11/09;05403;Perugia - Università per stranieri;02 ;Residenze;0;0
01/11/09;05601;Viterbo - Università della Tuscia;01 ;Mense;0;0
01/11/09;05601;Viterbo - Università della Tuscia;02 ;Residenze;0;0
01/11/09;05801;"Roma - Università degli studi ""La Sapienza""";01 ;Mense;0;0
01/11/09;05801;"Roma - Università degli studi ""La Sapienza""";02 ;Residenze;0;0
01/11/09;05802;"Roma - Università degli studi di ""Tor Vergata""";01 ;Mense;0;0
01/11/09;05802;"Roma - Università degli studi di ""Tor Vergata""";02 ;Residenze;0;0
01/11/09;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);01 ;Mense;0;0
01/11/09;05803;Roma - Libera Università Maria SS.Assunta (LUMSA);02 ;Residenze;2;41
01/11/09;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);01 ;Mense;0;0
01/11/09;05805;Roma - Libera Università internazionale degli studi sociali Guido Carli (LUISS);02 ;Residenze;1;87
01/11/09;05806;"Roma - Università degli studi del ""Foro Italico""";01 ;Mense;0;0
01/11/09;05806;"Roma - Università degli studi del ""Foro Italico""";02 ;Residenze;0;0
01/11/09;05807;Roma - III Università degli studi;01 ;Mense;0;0
01/11/09;05807;Roma - III Università degli studi;02 ;Residenze;0;0
01/11/09;05808;"Roma - Università ""Campus Bio-Medico""";01 ;Mense;0;0
01/11/09;05808;"Roma - Università ""Campus Bio-Medico""";02 ;Residenze;0;0
01/11/09;05809;Roma - Libera Università degli studi San Pio V;01 ;Mense;0;0
01/11/09;05809;Roma - Libera Università degli studi San Pio V;02 ;Residenze;0;0
01/11/09;05810;"Roma - Università telematica ""Guglielmo Marconi""";01 ;Mense;0;0
01/11/09;05810;"Roma - Università telematica ""Guglielmo Marconi""";02 ;Residenze;0;0
01/11/09;05811;"Roma - Università telematica ""TEL.M.A.""";01 ;Mense;0;0
01/11/09;05811;"Roma - Università telematica ""TEL.M.A.""";02 ;Residenze;0;0
01/11/09;05812;Roma - Università Europea;01 ;Mense;0;0
01/11/09;05812;Roma - Università Europea;02 ;Residenze;0;0
01/11/09;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";01 ;Mense;0;0
01/11/09;05813;"Roma - Università telematica internazionale ""UNINETTUNO""";02 ;Residenze;0;0
01/11/09;05814;Roma - Universitas Mercatorum;01 ;Mense;0;0
01/11/09;05814;Roma - Universitas Mercatorum;02 ;Residenze;0;0
01/11/09;05815;Roma - Università telematica delle Scienze Umane UNISU;01 ;Mense;0;0
01/11/09;05815;Roma - Università telematica delle Scienze Umane UNISU;02 ;Residenze;0;0
01/11/09;06001;Cassino - Università degli studi;01 ;Mense;0;0
01/11/09;06001;Cassino - Università degli studi;02 ;Residenze;0;0
01/11/09;06201;Benevento - Università degli studi del Sannio;01 ;Mense;0;0
01/11/09;06201;Benevento - Università degli studi del Sannio;02 ;Residenze;1;74
01/11/09;06202;"Benevento - Università telematica ""Giustino Fortunato""";01 ;Mense;0;0
