ANNO_ACCADEMICO;COD_ATENEO;NOME_ATENEO;CODICE_INTERVENTO;DESCRIZIONE_INTERVENTO;INTERVENTI_LAUREA;INTERVENTI_LAUREA_EXTRA_UE;INTERVENTI_DOTTORATO;INTERVENTI_SPECIALIZZAZIONE;INTERVENTI_MASTER_PERFEZIONAMENTO
2009-2010;01502;Milano - Politecnico;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;718;71;0;0;0
2009-2010;01502;Milano - Politecnico;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;1400;593;64;0;54
2009-2010;01502;Milano - Politecnico;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;1239;559;64;0;54
2009-2010;01502;Milano - Politecnico;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01502;Milano - Politecnico;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01502;Milano - Politecnico;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;75;10;1;0;19
2009-2010;01502;Milano - Politecnico;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01502;Milano - Politecnico;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;429;0;0
2009-2010;01502;Milano - Politecnico;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;2;0
2009-2010;01502;Milano - Politecnico;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;77;0;0
2009-2010;01502;Milano - Politecnico;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;2;0;0
2009-2010;01502;Milano - Politecnico;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;1;0;0
2009-2010;01502;Milano - Politecnico;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;9;0;0
2009-2010;01502;Milano - Politecnico;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;59;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;247;4;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);2848;122;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;2692;112;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;1686;92;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);1212;770;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;729;687;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;138;25;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;328;0;0;0;61
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;117;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2009-2010;01503;"Milano - Università commerciale ""Luigi Bocconi""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;3;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;255;7;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);1241;0;106;0;176
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;369;0;0;0;167
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;578;0;47;0;89
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;106;;
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);1005;606;0;0;179
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;60
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;298;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;402;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;19;0;1;0;19
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;276;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;7;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;53;0;50
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;25;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;5;0;40
2009-2010;01504;"Milano - Università Cattolica del ""Sacro Cuore""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;78;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;39;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);188;2;0;0;30
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;103;2;0;0;22
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;39;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);134;49;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;49;49;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;81;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;24;6;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;24;6;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;36;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;38;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;2;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2009-2010;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);32;0;19;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;14;0;3;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;14;0;17;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;16;;
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);19;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;1;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;17;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;57;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;35;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;27;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;2;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2009-2010;01508;Milano - Università Vita-Salute San Raffaele;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;57;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;309;9;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);420;8;174;27;0
2009-2010;01509;Milano-Bicocca - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;79;2;70;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;158;8;58;10;0
2009-2010;01509;Milano-Bicocca - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2009-2010;01509;Milano-Bicocca - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);235;22;0;0;4
2009-2010;01509;Milano-Bicocca - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;22;0;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;680;172;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;276;2;2;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;136;2;2;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;136;2;2;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;136;2;2;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;147;3;2;3;2
2009-2010;01509;Milano-Bicocca - Università degli studi;104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;352;37;0
2009-2010;01509;Milano-Bicocca - Università degli studi;111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;12;7;0
2009-2010;01509;Milano-Bicocca - Università degli studi;113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01509;Milano-Bicocca - Università degli studi;115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;16
2009-2010;01509;Milano-Bicocca - Università degli studi;116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;67;20;58
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;0;;
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";093   ;Posti alloggio e contributi-alloggio - N. domande contributi-alloggio;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";094   ;Posti alloggio e contributi-alloggio - N. contributi-alloggio assegnati;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";101   ;Altri interventi di tipo finanziario - N. prestiti agevolati concessi da istituti di credito convenzionati;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";104   ;Altri interventi di tipo finanziario - N. altri sussidi erogati;0;0;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";111a  ;Borse di studio post-lauream - N. borse finanziate con fondi MIUR;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";111b  ;Borse di studio post-lauream - N. borse finanziate da altri Ministeri;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";112   ;Borse di studio post-lauream - N. borse finanziate dall'Ateneo con fondi propri;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";113   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri Atenei;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";114   ;Borse di studio post-lauream - N. borse finanziate con fondi UE;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";115   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con altri enti pubblici;;;0;0;0
2009-2010;01510;"Milano - Università telematica internazionale ""UNITEL""";116   ;Borse di studio post-lauream - N. borse finanziate mediante convenzione con enti privati;;;0;0;0
2009-2010;01601;Bergamo - Università degli studi;030   ;Borse di studio - N. borse di studio concesse con fondi dell'ATENEO;0;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;061   ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita);209;4;35;0;5
2009-2010;01601;Bergamo - Università degli studi;061c  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti SENZA borsa ;0;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;061m  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui studenti in mobilità extraeuropea ;5;0;13;0;5
2009-2010;01601;Bergamo - Università degli studi;061p  ;Mobilità internazionale - N. iscritti nell'ateneo coinvolti in programmi di mobilità internazionale (studenti in uscita)- di cui dottorandi percettori di borsa che usufruiscono della maggiorazione del 50% ;;;35;;
2009-2010;01601;Bergamo - Università degli studi;063   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata);95;17;0;0;0
2009-2010;01601;Bergamo - Università degli studi;064   ;Mobilità internazionale - N. iscritti in atenei esteri coinvolti in programmi di mobilità internazionale presso l'ateneo italiano (studenti in entrata)- di cui studenti provenienti da Paesi extraeuropei ;17;17;0;0;0
2009-2010;01601;Bergamo - Università degli studi;073   ;Interventi a favore di studenti in situazione di handicap - N. contributi finanziari;0;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;074   ;Interventi a favore di studenti in situazione di handicap - N. interventi non finanziari;26;0;0;0;0
2009-2010;01601;Bergamo - Università degli studi;081   ;Attività di collaborazione a tempo parziale - N. collaborazioni;137;18;0;0;0
2009-2010;01601;Bergamo - Università degli studi;091   ;Posti alloggio e contributi-alloggio - N. domande posti alloggio;0;0;0;0;29
2009-2010;01601;Bergamo - Università degli studi;092   ;Posti alloggio e contributi-alloggio - N. posti alloggio assegnati;0;0;0;0;29
