s_bene,genere,nome_regione,nome_provincia,nome_comune,categoria,sottocategoria,provvedimento,quota_confiscata,ufficio_giudiziario,distretto,tipologia_procedura,NomeComuneValidato,NomeRegioneValidato,CODISTAT,NomeProvinciaValidato,CODISTATPROV,CODISTATREG
I-NA-89-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-90-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-91-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-92-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-93-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-94-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-95-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-96-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-97-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-98-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-99-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-100-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-101-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-102-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-103-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-104-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-105-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-106-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-107-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-108-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-109-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-110-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-111-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-112-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-113-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-114-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-115-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-116-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-117-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-118-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-119-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-120-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-121-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-122-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-123-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-124-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,34,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-125-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-126-S,immobili,Campania,Napoli,Melito di Napoli,Terreno,Terreno edificabile,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-146-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-147-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-148-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-149-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-150-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-151-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-152-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-153-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-154-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-155-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-156-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-157-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-158-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-159-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-160-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-161-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-162-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,100,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-163-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-164-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-165-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-166-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-167-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-168-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-169-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-170-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,80,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-171-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Unità  uso abit. e assimil. - non definito,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-172-S,immobili,Campania,Napoli,Melito di Napoli,Altra unità immobiliare,Altro,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-173-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-174-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-175-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-176-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-177-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-178-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-179-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-180-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-181-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,Appartamento in condominio,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-182-S,immobili,Campania,Napoli,Melito di Napoli,Altra unità immobiliare,Altro,Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-183-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-184-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-185-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-186-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-187-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-188-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,33,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-189-S,immobili,Campania,Napoli,Melito di Napoli,Altra unità immobiliare,Altro,Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-190-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-191-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-192-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-193-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-194-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-195-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-196-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-197-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-198-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-199-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-200-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-201-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-202-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-203-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-204-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-205-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-206-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-207-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-208-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-209-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-210-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-211-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-212-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-213-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-214-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
I-NA-215-S,immobili,Campania,Napoli,Melito di Napoli,Unità immobiliare per uso di abitazione e assimilabile,"Box, garage, autorimessa, posto auto",Confisca def.,50,Procura della Repubblica,Napoli,Procedimento Penale,MELITO DI NAPOLI,CAMPANIA,063045,Napoli,063,15
